DAY,HOUR,ALARM_LEVEL,TEMPERATURE,HUMIDITY,DISTRICT1,ENTITIES_nonresidential,ENTITIES_nonstructural,ENTITIES_residential,ENTITIES_structural,ENTITIES_transport,FIRE_ORIGIN_battery short circuit,FIRE_ORIGIN_electrical ignition,FIRE_ORIGIN_ignition of materials,FIRE_ORIGIN_lighted cigarette,FIRE_ORIGIN_open flame,FIRE_ORIGIN_others,FIRE_ORIGIN_overheated engine,ESTIMATED_PHP_LOSS
15,1,missing,26,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,500
15,8,missing,28,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
17,19,missing,28,0.84,1,0,0,1,0,0,0,0,0,0,0,0,1,2000
19,0,missing,25,0.94,1,0,0,0,1,0,0,0,0,0,0,1,0,1000
19,17,missing,25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1000
20,16,missing,27,0.84,1,0,0,1,0,0,0,0,0,0,1,0,0,1000
22,10,missing,30,0.7,0,0,0,0,1,0,0,0,0,0,1,0,0,300
26,2,missing,23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1000
28,9,1st alarm,28,0.79,1,1,0,0,0,0,0,1,0,0,0,0,0,5000
30,6,missing,27,0.84,0,0,0,1,0,0,0,1,0,0,0,0,0,500
30,9,missing,27,0.84,1,0,0,1,0,0,0,0,1,0,0,0,0,500
30,12,1st alarm,31,0.62,1,1,0,0,0,0,0,1,0,0,0,0,0,400000
5,13,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,14,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,22,missing,25,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,23,missing,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,500
9,18,missing,30,0.75,1,0,1,0,0,0,0,0,0,1,0,0,0,200
10,3,missing,26,0.89,0,1,0,0,0,0,0,1,0,0,0,0,0,200
11,21,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,200
13,14,missing,32,0.71,0,1,0,0,0,0,0,0,0,0,1,0,0,200
13,23,missing,26,0.89,0,1,0,0,0,0,0,1,0,0,0,0,0,1200000
14,4,missing,26,0.89,1,0,0,1,0,0,0,1,0,0,0,0,0,500
15,14,missing,26,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,500
16,12,missing,30,0.75,1,1,0,0,0,0,0,0,0,0,0,1,0,5000
18,8,missing,28,0.84,1,1,0,0,0,0,0,0,1,0,0,0,0,2000
18,19,missing,26,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
22,19,1st alarm,27,0.84,1,0,0,1,0,0,0,0,0,0,0,1,0,400000
23,7,missing,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,48000
24,19,missing,28,0.84,0,0,0,1,0,0,0,0,0,0,1,0,0,2000
25,3,missing,26,0.94,0,0,0,0,0,1,0,0,0,0,0,1,0,50000
25,16,missing,33,0.63,0,0,0,1,0,0,0,1,0,0,0,0,0,2000
25,22,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,1000
28,20,missing,26,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
29,15,missing,32,0.71,1,0,0,0,1,0,0,0,0,0,0,0,1,5000
3,21,missing,30,0.79,0,0,0,0,0,1,0,0,0,0,0,0,1,5000
4,19,missing,27,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,15,missing,31,0.66,0,0,1,0,0,0,0,0,0,1,0,0,0,500
5,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
6,15,missing,27,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
7,22,missing,27,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,500
10,20,missing,29,0.79,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,17,missing,31,0.75,1,1,0,0,0,0,0,0,0,0,0,0,1,54000
15,15,missing,32,0.71,1,0,0,0,0,1,0,1,0,0,0,0,0,50000
16,21,missing,25,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
18,11,missing,30,0.75,0,0,1,0,0,0,0,1,0,0,0,0,0,500
18,21,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
21,8,missing,26,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
21,16,1st alarm,29,0.74,1,1,0,0,0,0,0,0,0,0,0,1,0,1600000
23,14,missing,32,0.71,0,0,0,1,0,0,0,0,0,1,0,0,0,1500
26,3,2nd alarm,27,0.89,0,0,0,1,0,0,0,0,0,0,0,1,0,30000
26,3,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
27,11,missing,30,0.75,1,0,1,0,0,0,0,0,0,1,0,0,0,200
27,14,missing,32,0.67,1,0,0,0,0,1,0,0,0,0,0,0,1,5000
27,20,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
29,14,1st alarm,30,0.75,1,1,0,0,0,0,0,1,0,0,0,0,0,700000
31,14,missing,28,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
3,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,200
3,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,200
5,21,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,200
6,22,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
9,11,missing,33,0.63,0,0,0,0,0,1,1,0,0,0,0,0,0,1000
10,5,missing,28,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
12,14,1st alarm,33,0.71,0,0,0,1,0,0,0,1,0,0,0,0,0,5000
14,23,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,0
