DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
F,10 June 2022                      0506H,"Jevois Kalayaan, Brgy. Pinagkaisahan, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
M,12 June 2022                      1416H,"149 B5 Bayabas St., Brgy. West Rembo, Makati City",2-Storey Residential-_Single and Two Family Dwelling/Chary Lining Dantes/,Electrical Ignition caused by loosed connection,1st Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,"Php5,000.00"
TU,14 June 2022                     2351H,"E. Serrano St., JP Rizal, Brgy West Rembo,Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php0.00
W,15 June 2022                      0057H,"Pili St., Brgy. West Rembo",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php0.00
F,17 June 2022                     0013H,"Dian cor Emilia St., Brgy. Palanan,Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
SU,18 June 2022                      2313H,"Jacobo St. cor Don Pedro, Brgy Poblacion, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
SU,19 June 2022                      1816H,"B61 L15 Macopa St., Brgy.Rizal,Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
M,20 June 2022                      1300H,"Emilia cor. Guernica St., Brgy. Palanan, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
M,20 June 2022                      1424H,"Multipurpose Hall, 1888 Compound, Coryville, Eureka St., Brgy. La Paz, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
M,20 June 2022                      2129H," Serrano St., Brgy. West Rembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
M,20 June 2022                      2310H,"330A Kalamansi St., Brgy. Cembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
TU,21 June 2022                      2026H,"1271 C. Francisco St., Brgy. Kasilawan, Makati City ",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
W,22 June 2022                      0307H,"Antipolo St., cor. Victor St., Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
W,22 June 2022                      2310H,"Don Pedro St., Brgy. Poblacion, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
W,22 June 2022                      2310H,"1606 Nunez St., cor. A Mendoza St., Brgy. Kasilawan, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
TH,23 June 2022                      2223H,"2234 P. Binay St., cor. Estrella St., Brgy. Bangkal, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
F,24 June 2022                      1833H,"AP Reyes Ave., Brgy. Tejeros, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
SU,26 June 2022                      0317H,"131 Apitong St., Brgy. Comembo, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php0.00
TU,28 June 2022                      1107H,"Apolinario cor. Capinpin Sts, Brgy. Bangkal, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
TU,28 June 2022                      1954H,"Magsaysay St., Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
TU,03 May 2022                       2103H,"4240 Mojica St., Brgy. Bangkal, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/SFO1 Tuburan,Php500.00
W,04 May 2022                       0834H,"Blk 5 Lot 6 Durian St., Target Range, Brgy. Pembo, Makati City",4-Storey Residential-_Single and Two Family Dwelling,Open flame from Cooking,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/SFO1 Tuburan,Php500.00
SU,08 May 2022                       0224H,"#363 Sen Gil Puyat, Brgy. Bel-Air, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/SFO1 Tuburan,Php500.00
SU,08 May 2022                       1554H,"Mayapis St. near Buendia PNR Station, Brgy. San Antonio, Makati City",Non_Structural/Grass Fire,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/SFO1 Tuburan,Php0.00
M,09 May 2022                       0042H,"165 Pili St., Brgy. West Rembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
M,09 May 2022                       1256H,"Gil Puyat cor Chino Roces Ave., Brgy. Pio del Pilar, Makati City",Non_Structural/Transport/Motor Vehicle/,Overheated Motor Engine,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"Php10,000.00"
TU,10 May 2022                       2308H,"Yakal St., Brgy San Antonio, Makati City",Non_Structural/Grass Fire/Vacant Area,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php0.00
W,11 May 2022                      1151H,"Camachile cor Mayapis St., Brgy San Isidro, Makati City",Non_Structural/Rubbish Fire/Vacant Area,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php0.00
W,11 May 2022                       1907H,"7707 St Paul St., Brgy San Antonio, Makati City",Non_Structural/Rubbish Fire/Vacant Area,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,PHP 0.00
TH,12 May 2022                       0756H,"Skyway SB Kapinpin St., Magallanes, Brgy Bangkal, Makati City",Non_Structural/Transport/Automobile/,Overheated Motor Engine,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"PHP 1,000.00"
F,13 May 2022                       1950H,"#4150 Olivarez St., Brgy. Palanan, Makati City ",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,PHP 500.00
